,project,reference,sheet-thickness,yield-strength,tensile-strength,band-width,pitch,operation-number,piece-beat,cam-hole,mold-weight,mold-type,opening-mold-weight,cost,euro
0,TOGG BIW,REF01,0.7,163.7,282.0,1790.0,3380.0,4.0,1.0,0.0,237.08,TANDEM,52.0,844580.0,2923.03
1,TOGG BIW,REF02,0.7,163.7,282.0,1790.0,3380.0,4.0,1.0,0.0,237.08,TANDEM,0.0,746595.0,3149.13
2,TOGG BIW,REF05-06,0.65,150.9,286.7,1130.0,2520.0,4.0,2.0,0.0,110.31,TANDEM,0.0,442649.0,4012.77
3,TOGG BIW,REF07-08,0.65,150.9,286.7,1155.0,2470.0,4.0,2.0,0.0,115.59,TANDEM,0.0,430899.0,3727.82
4,TOGG BIW,REF56-57,0.7,158.2,288.0,1660.0,2805.0,4.0,2.0,0.0,174.39,TANDEM,28.46,740919.0,3652.55
5,TOGG BIW,REF58-59,0.7,158.2,288.0,1675.0,1510.0,4.0,1.0,0.0,179.34,TANDEM,28.46,745449.0,3587.34
6,TOGG BIW,REF96-97,0.7,158.2,288.0,380.0,310.0,5.0,1.0,0.0,14.42,POSTALI,0.0,120000.0,8321.78
7,TOGG BIW,REF112-113,1.7,255.3,365.6,130.0,74.0,5.0,1.0,0.0,4.42,POSTALI,0.0,23000.0,5203.62
8,TOGG BIW,REF114-115,1.0,359.4,447.9,100.0,165.0,2.0,1.0,0.0,0.96,POSTALI,1.12,25000.0,12019.23
9,TOGG BIW,REF120-121,1.2,290.0,375.5,203.0,108.0,4.0,1.0,0.0,4.4,POSTALI,0.0,27000.0,6136.36
10,TOGG BIW,REF215-216,1.5,158.2,288.0,139.0,130.0,2.0,2.0,2.0,1.01,POSTALI,1.23,15000.0,6696.43
11,TOGG BIW,REF223,1.5,359.4,447.9,181.0,99.0,9.0,2.0,0.0,1.62,PROGRASİF,0.0,16000.0,9876.54
12,TOGG BIW,REF224-225,2.5,359.4,447.9,151.0,127.0,9.0,2.0,0.0,2.23,PROGRASİF,0.0,16000.0,7174.89
13,RENAULT ECHO,REF26,1.5,359.4,447.9,207.0,69.0,12.0,1.0,0.0,1.71,PROGRASİF,0.0,30000.0,17543.86
14,RENAULT ECHO,REF28-29,0.88,168.7,285.2,1288.0,1110.0,7.0,2.0,14.0,72.96,TRANSFER,0.0,470000.0,6441.89
15,RENAULT ECHO,REF30-34,1.45,430.9,514.6,371.0,190.0,12.0,2.0,6.0,5.83,PROGRASİF,0.0,57500.0,9862.78
16,RENAULT ECHO,REF31-32,0.88,168.7,285.2,1340.0,640.0,7.0,2.0,14.0,57.9,TRANSFER,0.0,380000.0,6563.04
17,RENAULT ECHO,REF33,1.18,359.4,447.9,890.0,295.0,13.0,1.0,2.0,25.06,PROGRASİF,0.0,185000.0,7382.28
18,RENAULT ECHO,REF63-64,1.0,168.7,285.2,275.0,186.0,12.0,2.0,4.0,6.03,PROGRASİF,0.0,52500.0,8706.47
19,RENAULT ECHO,REF115,0.65,168.7,285.2,1126.0,120.0,20.0,1.0,0.0,15.72,PROGRASİF,0.0,120000.0,7633.59
20,RENAULT ECHO,REF116,0.65,168.7,285.2,1126.0,120.0,20.0,1.0,0.0,15.72,PROGRASİF,0.0,120000.0,7633.59
